handle,sku,vendor,title,status,product_type,has_ebay,reason
bv-david-webb-platinum-18k-yellow-gold-diamond-tiger-and-black-enamel-brooch-rr8241,RR8241,David Webb,David Webb Platinum & 18K Yellow Gold Diamond Tiger And Black Enamel Brooch,ACTIVE,Brooches,true,already-tagged-and-conditioned
bv-david-webb-platinum-18k-yellow-gold-blue-enamel-bombe-diamond-ring-rr8364,RR8364,David Webb,David Webb Platinum & 18K Yellow Gold Blue Enamel Bombe Diamond Ring,ACTIVE,Rings,true,already-tagged-and-conditioned
bv-david-webb-black-enamel-and-diamond-square-shaped-earrings-rr8327,RR8327,David Webb,David Webb Black Enamel And Diamond Square Shaped Earrings,ACTIVE,Earrings,true,already-tagged-and-conditioned
bv-david-webb-platinum-18k-yellow-gold-black-enamel-diamond-hoop-earrings-rr7208,RR7208,David Webb,David Webb Platinum & 18K Yellow Gold Black Enamel Diamond Hoop Earrings,ACTIVE,Earrings,true,already-tagged-and-conditioned
bv-marina-b-18k-yellow-gold-hematite-large-cuff-bangle-bracelet-rr7206,RR7206,Marina B,Marina B . 18K Yellow Gold Hematite Large Cuff Bangle Bracelet,ACTIVE,Bracelets,true,already-tagged-and-conditioned
bv-david-webb-platinum-18k-yellow-gold-12-carat-diamond-crescent-brooch-rr7199,RR7199,David Webb,David Webb Platinum & 18K Yellow Gold 12 Carat Diamond Crescent Brooch,ACTIVE,Brooches,true,already-tagged-and-conditioned
bv-david-webb-platinum-18k-yellow-gold-blue-lapis-lazuli-and-white-enamel-brooch-rr8324,RR8324,David Webb,David Webb Platinum & 18K Yellow Gold Blue Lapis Lazuli And White Enamel Brooch,ACTIVE,Brooches,true,already-tagged-and-conditioned
bv-david-webb-white-enamel-and-malachite-maltese-cross-brooch-rr8323,RR8323,David Webb,David Webb White Enamel And Malachite Maltese Cross Brooch,ACTIVE,Brooches,true,already-tagged-and-conditioned
bv-david-webb-platinum-18k-yellow-gold-1970s-turquoise-and-diamond-foliage-brooch-rr8311,RR8311,David Webb,David Webb Platinum & 18K Yellow Gold 1970's Turquoise And Diamond Foliage Brooch,ACTIVE,Brooches,true,already-tagged-and-conditioned
bv-boucheron-18k-yellow-gold-diamond-mountings-for-pear-cut-centers-earrings-rr8304,RR8304,Boucheron,Boucheron 18K Yellow Gold Diamond Mountings For Pear Cut Centers Earrings,ACTIVE,Earrings,true,already-tagged-and-conditioned
bv-david-webb-platinum-18k-yellow-gold-carved-coral-jade-and-black-enamel-ring-rr8296,RR8296,David Webb,"David Webb Platinum & 18K Yellow Gold Carved Coral, Jade And Black Enamel Ring",ACTIVE,Rings,true,already-tagged-and-conditioned
bv-david-webb-18k-yellow-gold-7-carat-diamond-tear-drop-clip-on-earrings-rr8295,RR8295,David Webb,David Webb 18K Yellow Gold 7 Carat Diamond Tear Drop Clip On Earrings,ACTIVE,Earrings,true,already-tagged-and-conditioned
bv-cartier-platinum-5-85-carat-diamond-tulip-vintage-ring-rr8294,RR8294,Cartier,Cartier Platinum 5.85 Carat Diamond Tulip Vintage Ring,ARCHIVED,Rings,false,status:ARCHIVED
bv-cartier-18k-yellow-gold-double-panthere-tassel-long-strand-necklace-rr8080,RR8080,Cartier,Cartier 18K Yellow Gold Double Panthere Tassel Long Strand Necklace,ACTIVE,Necklaces,true,already-tagged-and-conditioned
bv-david-webb-platinum-18k-yellow-gold-white-enamel-diamond-horse-face-brooch-rr8277,RR8277,David Webb,David Webb Platinum & 18K Yellow Gold White Enamel Diamond Horse Face Brooch,ACTIVE,Brooches,true,already-tagged-and-conditioned
bv-david-webb-platinum-18k-white-gold-rock-crystal-diamonds-black-enamel-pearl-ring-rr8276,RR8276,David Webb,"David Webb Platinum & 18K White Gold Rock Crystal, Diamonds, Black Enamel, Pearl Ring",ACTIVE,Rings,true,already-tagged-and-conditioned
bv-van-cleef-arpels-18k-yellow-gold-perlee-clover-diamond-ring-rr8275,RR8275,Van Cleef & Arpels,Van Cleef & Arpels 18K Yellow Gold Perlee Clover Diamond Ring,ACTIVE,Rings,true,already-tagged-and-conditioned
bv-david-webb-platinum-18k-yellow-gold-green-emerald-and-diamond-flower-brooch-rr8212,RR8212,David Webb,David Webb Platinum & 18K Yellow Gold Green Emerald And Diamond Flower Brooch,ACTIVE,Brooches,true,already-tagged-and-conditioned
