sku,qty,status,vendor,title,handle,has_ebay,tags
3243,0,ARCHIVED,ROLEX,Pre-Owned Rolex Datejust 68274,w-3243,True,"68274,Datejust,ebay,lmny-feed,naked,Pre-Owned Watches,Rolex,Watches"
3245,0,ARCHIVED,ROLEX,Pre-Owned Rolex Datejust 68273,w-3245,True,"68273,Datejust,ebay,lmny-feed,naked,Pre-Owned Watches,Rolex,Watches"
3252,0,ARCHIVED,ROLEX,Pre-Owned Rolex Datejust 178271,w-3252,True,"178271,Datejust,ebay,lmny-feed,papers-only,Pre-Owned Watches,Rolex,Watches"
3261,0,ARCHIVED,ROLEX,Pre-Owned Rolex Datejust 126301,w-3261,True,"126301,Datejust,ebay,lmny-feed,papers-only,Pre-Owned Watches,Rolex,Watches"
3263,0,ARCHIVED,ROLEX,Rolex Datejust 126301,w-3263,True,"126301,Datejust,ebay,lmny-feed,papers-only,RETAIL READY,Rolex,Watches"
3291,0,ARCHIVED,CARTIER,Unworn Cartier Santos WHSA0016,w-3291,True,"Cartier,ebay,full-set,lmny-feed,Santos,Unworn Watches,Watches,WHSA0016"
3317,0,ARCHIVED,ROLEX,Pre-Owned Rolex Oyster Perpetual 76080,w-3317,False,"76080,lmny-feed,naked,Oyster Perpetual,Pre-Owned Watches,Rolex,Watches"
3322,0,ARCHIVED,ROLEX,Pre-Owned Rolex Datejust 178270,w-3322,True,"178270,Datejust,ebay,lmny-feed,naked,Pre-Owned Watches,Rolex,Watches"
3323,0,ARCHIVED,ROLEX,Pre-Owned Rolex Datejust 16013,w-3323,True,"16013,Datejust,ebay,lmny-feed,naked,Pre-Owned Watches,Rolex,Watches"
3325,0,ARCHIVED,ROLEX,Pre-Owned Rolex Datejust 16013,w-3325,True,"16013,Datejust,ebay,lmny-feed,naked,Pre-Owned Watches,Rolex,Watches"
3326,0,ARCHIVED,ROLEX,Pre-Owned Rolex Lady Date Just 6917,w-3326,True,"6917,ebay,Lady Date Just,lmny-feed,naked,Pre-Owned Watches,Rolex,Watches"
3328,0,ARCHIVED,ROLEX,Rolex Datejust 1603,w-3328,True,"1603,Datejust,ebay,lmny-feed,naked,Rolex,SLIDER,Watches"
3331,0,ARCHIVED,ROLEX,Pre-Owned Rolex Day-Date 218238,w-3331,True,"218238,Day-Date,ebay,full-set,lmny-feed,Pre-Owned Watches,Rolex,Watches"
3345,0,ARCHIVED,ROLEX,Pre-Owned Rolex Datejust 126300,w-3345,True,"126300,Datejust,ebay,lmny-feed,papers-only,Pre-Owned Watches,Rolex,Watches"
3347,0,ARCHIVED,ROLEX,Pre-Owned Rolex Datejust 126300,w-3347,True,"126300,Datejust,ebay,lmny-feed,papers-only,Pre-Owned Watches,Rolex,Watches"
3348,0,ARCHIVED,ROLEX,Pre-Owned Rolex Datejust 126300,w-3348,True,"126300,Datejust,ebay,lmny-feed,papers-only,Pre-Owned Watches,Rolex,Watches"
3351,0,ARCHIVED,ROLEX,Pre-Owned Rolex Datejust 126300,w-3351,True,"126300,Datejust,ebay,lmny-feed,papers-only,Pre-Owned Watches,Rolex,Watches"
3357,0,ARCHIVED,ROLEX,Pre-Owned Rolex Datejust 116233,w-3357,True,"116233,Datejust,ebay,lmny-feed,papers-only,Pre-Owned Watches,Rolex,Watches"
3366,0,ARCHIVED,ROLEX,Pre-Owned Rolex Lady Date Just 179171,w-3366,True,"179171,ebay,Lady Date Just,lmny-feed,papers-only,Pre-Owned Watches,Rolex,Watches"
3379,0,ARCHIVED,ROLEX,Pre-Owned Rolex Datejust II 116300,w-3379,True,"116300,Datejust II,ebay,lmny-feed,naked,Pre-Owned Watches,Rolex,Watches"
3382,0,ARCHIVED,ROLEX,Pre-Owned Rolex GMT Master II 126715CHNR,w-3382,True,"126715CHNR,ebay,GMT Master II,lmny-feed,papers-only,Pre-Owned Watches,Rolex,Watches"
3408,0,ARCHIVED,CARTIER,Pre-Owned Cartier Santos WSSA0009,w-3408,True,"Cartier,ebay,lmny-feed,papers-only,Pre-Owned Watches,Santos,Watches,WSSA0009"
3409,0,ARCHIVED,CARTIER,Pre-Owned Cartier Santos WSSA0009,w-3409,True,"Cartier,ebay,lmny-feed,papers-only,Pre-Owned Watches,Santos,Watches,WSSA0009"
3413,0,ARCHIVED,ROLEX,Pre-Owned Rolex Datejust 126303,w-3413,True,"126303,Datejust,ebay,full-set,lmny-feed,Pre-Owned Watches,Rolex,Watches"
3423,0,ARCHIVED,ROLEX,Pre-Owned Rolex Datejust 16233,w-3423,True,"16233,Datejust,ebay,lmny-feed,papers-only,Pre-Owned Watches,Rolex,Watches"
3424,0,ARCHIVED,ROLEX,Pre-Owned Rolex Datejust 16233,w-3424,True,"16233,Datejust,ebay,lmny-feed,papers-only,Pre-Owned Watches,Rolex,Watches"
3427,0,ARCHIVED,ROLEX,Pre-Owned Rolex GMT Master II 126711CHNR,w-3427,True,"126711CHNR,ebay,full-set,GMT Master II,lmny-feed,Pre-Owned Watches,Rolex,Watches"
3437,0,ARCHIVED,ROLEX,Rolex Lady Date Just 69173,w-3437,True,"69173,ebay,Lady Date Just,lmny-feed,naked,Rolex,SLIDER,Watches"
3445,0,ARCHIVED,ROLEX,Pre-Owned Rolex GMT Master II 116713LN,w-3445,True,"116713LN,ebay,full-set,GMT Master II,lmny-feed,Pre-Owned Watches,Rolex,Watches"
3447,0,ARCHIVED,ROLEX,Pre-Owned Rolex Datejust 126333,w-3447,True,"126333,Datejust,ebay,full-set,lmny-feed,Pre-Owned Watches,Rolex,Watches"
3448,0,ARCHIVED,ROLEX,Unworn Rolex Day-Date 228348RBR,w-3448,True,"228348RBR,Day-Date,ebay,lmny-feed,papers-only,Rolex,Unworn Watches,Watches"
3451,0,ARCHIVED,ROLEX,Pre-Owned Rolex Datejust 116231,w-3451,True,"116231,Datejust,ebay,lmny-feed,papers-only,Pre-Owned Watches,Rolex,Watches"
3453,0,ARCHIVED,ROLEX,Pre-Owned Rolex Datejust 179171,w-3453,True,"179171,Datejust,ebay,lmny-feed,papers-only,Pre-Owned Watches,Rolex,Watches"
3460,0,ARCHIVED,ROLEX,Rolex Datejust 116231,w-3460,True,"116231,Datejust,ebay,lmny-feed,papers-only,RETAIL READY,Rolex,Watches"
3461,0,ARCHIVED,ROLEX,Rolex Datejust 116233,w-3461,True,"116233,Datejust,ebay,lmny-feed,papers-only,RETAIL READY,Rolex,Watches"
3466,0,ARCHIVED,ROLEX,Pre-Owned Rolex Oyster Perpetual 114300,w-3466,True,"114300,ebay,lmny-feed,Oyster Perpetual,papers-only,Pre-Owned Watches,Rolex,Watches"
3469,0,ARCHIVED,ROLEX,Pre-Owned Rolex Sky Dweller 326933,w-3469,True,"326933,ebay,lmny-feed,papers-only,Pre-Owned Watches,Rolex,Sky Dweller,Watches"
3476,0,ARCHIVED,ROLEX,Pre-Owned Rolex Datejust 126331,w-3476,True,"126331,Datejust,ebay,lmny-feed,papers-only,Pre-Owned Watches,Rolex,Watches"
3480,0,ARCHIVED,ROLEX,Pre-Owned Rolex Datejust 126331,w-3480,True,"126331,Datejust,ebay,lmny-feed,papers-only,Pre-Owned Watches,Rolex,Watches"
3483,0,ARCHIVED,ROLEX,Rolex Datejust 278274,w-3483,True,"278274,Datejust,ebay,lmny-feed,papers-only,RETAIL READY,Rolex,Watches"
3484,0,ARCHIVED,ROLEX,ROLEX DATEJUST 278384RBR,w-3484,False,"lmny-feed,papers-only,RETAIL READY,ROLEX"
3485,0,ARCHIVED,ROLEX,Pre-Owned Rolex GMT Master II 126720VTNR,w-3485,True,"126720VTNR,ebay,GMT Master II,lmny-feed,papers-only,Pre-Owned Watches,Rolex,Watches"
3488,0,ARCHIVED,ROLEX,Rolex GMT Master II 116710LN,w-3488,True,"116710LN,ebay,GMT Master II,lmny-feed,papers-only,RETAIL READY,Rolex,Watches"
3489,0,ARCHIVED,ROLEX,Unworn Rolex Oyster Perpetual 134300,w-3489,True,"134300,ebay,lmny-feed,Oyster Perpetual,papers-only,Rolex,Unworn Watches,Watches"
3492,0,ARCHIVED,ROLEX,ROLEX GMT MASTER II 116710LN,w-3492,False,"lmny-feed,papers-only,RETAIL READY,ROLEX"
3493,0,ARCHIVED,ROLEX,Rolex GMT Master II 116710LN,w-3493,True,"116710LN,ebay,GMT Master II,lmny-feed,papers-only,RETAIL READY,Rolex,Watches"
