#INFO,Version=1.0.0,,Template=eBay-taxonomy-mapping-template_US,
#INFO,Set A,,Set B,
Custom Label (SKU),Item Photo URL,Title,Category,Aspects
w-8956,https://cdn.shopify.com/s/files/1/1727/2565/files/8956.jpg,Rolex Datejust 16014 Unisex Pre-Owned Watch No Box/Papers,Wristwatches,Brand=Rolex|Department=Unisex Adults|Type=Wristwatch|Model=Datejust|Reference Number=16014|Condition=Pre-owned|With Original Box/Packaging=No|With Papers=No|Vintage=Yes
w-8964,https://cdn.shopify.com/s/files/1/1727/2565/files/8964_7b963d5b-94be-4cc0-be01-39a9f61b0a99.jpg,Rolex Datejust 1601 Unisex Retail Ready Watch No Box/Papers,Wristwatches,Brand=Rolex|Department=Unisex Adults|Type=Wristwatch|Model=Datejust|Reference Number=1601|Condition=Pre-owned|With Original Box/Packaging=No|With Papers=No|Vintage=Yes
w-8994,https://cdn.shopify.com/s/files/1/1727/2565/files/8994_885d9431-34e1-4df6-8d80-2c942663eb2a.jpg,Rolex Datejust 126300 Unisex Pre-Owned Watch No Box/Papers,Wristwatches,Brand=Rolex|Department=Unisex Adults|Type=Wristwatch|Model=Datejust|Reference Number=126300|Condition=Pre-owned|With Original Box/Packaging=No|With Papers=No|Vintage=No
w-9004,https://cdn.shopify.com/s/files/1/1727/2565/files/9004_0b322a5c-96b4-4956-8663-5e9e6eff3c68.jpg,Rolex Daytona 116505 Mens Mint Watch w/ Papers,Wristwatches,Brand=Rolex|Department=Men|Type=Wristwatch|Model=Daytona|Reference Number=116505|Condition=Pre-owned|With Original Box/Packaging=No|With Papers=Yes|Vintage=No
w-9077,https://cdn.shopify.com/s/files/1/1727/2565/files/9077.jpg,Rolex Yacht-Master II 116681 Mens Mint Watch No Box/Papers,Wristwatches,Brand=Rolex|Department=Men|Type=Wristwatch|Model=Yacht-Master II|Reference Number=116681|Condition=Pre-owned|With Original Box/Packaging=No|With Papers=No|Vintage=No
w-9102,https://cdn.shopify.com/s/files/1/1727/2565/files/9102_e0c91845-e19c-47d9-bd8d-79a16985e566.jpg,Rolex Datejust 6605 Unisex Mint Watch No Box/Papers,Wristwatches,Brand=Rolex|Department=Unisex Adults|Type=Wristwatch|Model=Datejust|Reference Number=6605|Condition=Pre-owned|With Original Box/Packaging=No|With Papers=No|Vintage=Yes
w-9104,https://cdn.shopify.com/s/files/1/1727/2565/files/9104.jpg,Rolex Datejust 6305 Unisex Mint Watch No Box/Papers,Wristwatches,Brand=Rolex|Department=Unisex Adults|Type=Wristwatch|Model=Datejust|Reference Number=6305|Condition=Pre-owned|With Original Box/Packaging=No|With Papers=No|Vintage=Yes
w-9186,https://cdn.shopify.com/s/files/1/1727/2565/files/9186.jpg,Rolex Lady Date Just 6917 Womens Mint Watch No Box/Papers,Wristwatches,Brand=Rolex|Department=Women|Type=Wristwatch|Model=Lady Date Just|Reference Number=6917|Condition=Pre-owned|With Original Box/Packaging=No|With Papers=No|Vintage=Yes
w-9190,https://cdn.shopify.com/s/files/1/1727/2565/files/9190.jpg,Rolex Oyster Perpetual Date 1500 Unisex Pre-Owned Watch No Box/Papers,Wristwatches,Brand=Rolex|Department=Unisex Adults|Type=Wristwatch|Model=Oyster Perpetual Date|Reference Number=1500|Condition=Pre-owned|With Original Box/Packaging=No|With Papers=No|Vintage=Yes
w-9192,https://cdn.shopify.com/s/files/1/1727/2565/files/9192_a90bdc53-4e85-48a0-a3d6-642ff17f1758.jpg,Rolex Oyster Perpetual Date 1500 Unisex Pre-Owned Watch No Box/Papers,Wristwatches,Brand=Rolex|Department=Unisex Adults|Type=Wristwatch|Model=Oyster Perpetual Date|Reference Number=1500|Condition=Pre-owned|With Original Box/Packaging=No|With Papers=No|Vintage=Yes
w-9201,https://cdn.shopify.com/s/files/1/1727/2565/files/9201.jpg,Rolex Daytona 116515LN Womens Pre-Owned Watch w/ Papers,Wristwatches,Brand=Rolex|Department=Women|Type=Wristwatch|Model=Daytona|Reference Number=116515LN|Condition=Pre-owned|With Original Box/Packaging=No|With Papers=Yes|Vintage=No
w-9209,https://cdn.shopify.com/s/files/1/1727/2565/files/9209_d87f5a94-55cc-475e-95d1-65c7179d17c1.jpg,Rolex Oyster Perpetual 6718 Unisex Mint Watch No Box/Papers,Wristwatches,Brand=Rolex|Department=Unisex Adults|Type=Wristwatch|Model=Oyster Perpetual|Reference Number=6718|Condition=Pre-owned|With Original Box/Packaging=No|With Papers=No|Vintage=Yes
w-9213,https://cdn.shopify.com/s/files/1/1727/2565/files/9213_434a5258-399d-48d6-aa3a-c85a0d47ba76.jpg,Rolex GMT-Master II 16710 Mens Pre-Owned Watch No Box/Papers,Wristwatches,Brand=Rolex|Department=Men|Type=Wristwatch|Model=GMT-Master II|Reference Number=16710|Condition=Pre-owned|With Original Box/Packaging=No|With Papers=No|Vintage=No
w-9220,https://cdn.shopify.com/s/files/1/1727/2565/files/9220_14e5d75c-7e40-4f8b-a54b-fa879784d27b.jpg,Rolex GMT-Master II 126710BLNR Mens Mint Watch No Box/Papers,Wristwatches,Brand=Rolex|Department=Men|Type=Wristwatch|Model=GMT-Master II|Reference Number=126710BLNR|Condition=Pre-owned|With Original Box/Packaging=No|With Papers=No|Vintage=No
